Region,County,Municipality,Client,Site Name,Site ID,PF Name,PF ID,Active Facility,Application Type,Permit Type,General Permit Type,Disposition Code,Date Received,Date Disposed,Date Expires,Permit Hyperlink
Northwest,Crawford,Pine Township,MOLDED FIBER GLASS CO,MOLDED FIBER GLASS TRAY,473,MOLDED FIBER GLASS CO / TRAY COMPANY,614,Y,Renewal,Title V Operating Permit,,ISSU,2022-04-22 00:00:00,2023-02-07 00:00:00,2028-01-31 00:00:00,1393378[20-00035]_Issued_v1.pdf
Northwest,Elk,Benezette Township,EASTERN GAS TRANS & STORAGE INC,EASTERN GAS TRANSMISSION & STORAGE INC ARDELL COMP STA,264093,EASTERN GAS TRANS & STORAGE INC/ARDELL COMP STA/ELK,284268,Y,Renewal,Title V Operating Permit,,ISSU,2024-02-21 00:00:00,2025-09-23 00:00:00,2030-08-31 00:00:00,1473668[24-00120]_Issued_v1.pdf
Northwest,Elk,Benezette Township,AMER EXPLORATION CO,EQT PROD BENEZETTE COMP STA,539051,EQT PRODUCTION LLC/BENEZETTE COMP STA,558888,Y,New,Title V Operating Permit,,ISSU,1995-07-31 00:00:00,1997-08-05 00:00:00,2002-08-31 00:00:00,354218[24-00129]_Issued_v1.pdf
Northwest,Elk,Fox Township,GREENTREE LDFL LLC,GREENTREE LDFL,245233,GREENTREE LDFL LLC/KERSEY,250328,Y,Renewal,Title V Operating Permit,,ISSU,2020-07-17 00:00:00,2023-10-11 00:00:00,2028-09-30 00:00:00,1320816[24-00123]_Issued_v1.pdf
Northwest,Erie,Erie City,ERIE CITY SEW AUTH ERIE CNTY,ERIE CITY STP,261499,ERIE SEWER AUTHORITY/ERIE WWTP,278806,Y,Renewal,Title V Operating Permit,,ISSU,2023-12-26 00:00:00,2025-10-01 00:00:00,2030-09-30 00:00:00,1466144[25-00179]_Issued_v1.pdf
Northwest,Erie,Millcreek Township,HAYSITE REINFORCED PLASTICS LLC,HAYSITE REINFORCED PLASTICS,249297,HAYSITE REINFORCED PLASTICS LLC/ERIE,511900,Y,Renewal,Title V Operating Permit,,ISSU,2023-09-20 00:00:00,2025-09-22 00:00:00,2030-08-31 00:00:00,1455330[25-00783]_Issued_v1.pdf
Northwest,Erie,Summit Township,WASTE MGMT PA INC,LAKE VIEW LDFL,250850,WASTE MGMT PA/LAKE VIEW LANDFILL,258605,Y,Renewal,Title V Operating Permit,,ISSU,2020-11-30 00:00:00,2022-04-18 00:00:00,2027-03-31 00:00:00,1334868[25-00920]_Issued_v1.pdf
Northwest,Erie,Union City Borough,MOLDED FIBER GLASS CO,MOLDED FIBER GLASS UNION CITY,4787,MOLDED FIBER GLASS CO/UNION CITY,6474,Y,Renewal,Title V Operating Permit,,ISSU,2023-01-30 00:00:00,2025-05-06 00:00:00,2030-04-30 00:00:00,1425310[25-00035]_Issued_v1.pdf
Northwest,Indiana,Center Township,EVERGREEN LDFL INC,EVERGREEN LDFL,240909,EVERGREEN LANDFILL/FKA PELLEGRENE SITE,516172,Y,Renewal,Title V Operating Permit,,ISSU,2021-06-25 00:00:00,2022-11-30 00:00:00,2027-10-31 00:00:00,1359573[32-00266]_Issued_v1.pdf
Northwest,Indiana,Indiana Borough,SPECIALTY TIRES OF AMER INC,SPECIALTY TIRES OF AMERICA INC,74497,SPECIALTY TIRES AMER/INDIANA PLT,280053,Y,Renewal,Title V Operating Permit,,ISSU,2018-12-21 00:00:00,2020-07-09 00:00:00,2025-06-30 00:00:00,1256369[32-00065]_Issued_v1.pdf
Northwest,Indiana,West Wheatfield Township,TEXAS EASTERN TRANS LP,TEXAS EASTERN ARMAGH COMP STA,260104,TEXAS EASTERN TRANS LP/ARMAGH STA,275615,Y,Renewal,Title V Operating Permit,,ISSU,2023-11-29 00:00:00,2025-01-30 00:00:00,2029-12-31 00:00:00,1463169[32-00230]_Issued_v1.pdf
